"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE","test"
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,0,1.3,"Turbine(s) spinning",2014-07-22 22:14:57,2014-07-22 22:17:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,100,0,"Turbine(s) spinning",2014-07-22 22:17:35,2014-07-22 22:21:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.43333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,200,0.1,"Turbine(s) spinning",2014-07-22 22:21:01,2014-07-22 22:23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,300,1.6,"Turbine(s) spinning",2014-07-22 22:23:00,2014-07-22 22:27:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01666666666667
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,400,1,"Turbine(s) spinning",2014-07-22 22:27:01,2014-07-22 22:33:49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,1,500,0.9,"Turbine(s) spinning",2014-07-22 22:33:49,2014-07-22 22:40:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,0,2.8,"Turbine(s) spinning",2014-07-22 23:26:30,2014-07-22 23:29:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56666666666667
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,100,1.5,"Turbine(s) spinning",2014-07-22 23:29:04,2014-07-22 23:32:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,200,1.4,"Turbine(s) spinning",2014-07-22 23:32:40,2014-07-22 23:35:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,300,1.1,"Turbine(s) spinning",2014-07-22 23:35:34,2014-07-22 23:38:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,400,1,"Turbine(s) spinning",2014-07-22 23:38:30,2014-07-22 23:41:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,500,3.3,"Turbine(s) spinning",2014-07-22 23:41:50,2014-07-22 23:44:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,2,600,0,"Turbine(s) spinning",2014-07-22 23:44:43,2014-07-22 23:48:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,0,2.4,"Turbine(s) spinning",2014-07-22 22:52:45,2014-07-22 22:55:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,100,0.8,"Turbine(s) spinning",2014-07-22 22:55:39,2014-07-22 22:59:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,200,2.9,"Turbine(s) spinning",2014-07-22 22:59:03,2014-07-22 23:02:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,300,0,"Turbine(s) spinning",2014-07-22 23:02:23,2014-07-22 23:05:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,400,0.3,"Turbine(s) spinning",2014-07-22 23:05:26,2014-07-22 23:08:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,500,1.9,"Turbine(s) spinning",2014-07-22 23:08:25,2014-07-22 23:11:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28333333333333
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,3,600,2.4,"Turbine(s) spinning",2014-07-22 23:11:42,2014-07-22 23:15:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"Annfield","Annfield-1","MG",2014-07-22,16.5,NA,NA,4,0,4.3,"Turbine(s) spinning",2014-07-22 23:57:30,2014-07-23 00:00:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75
"Annfield","Annfield-1","MG",2014-07-23,16.5,NA,NA,4,100,2.8,"Turbine(s) spinning",2014-07-23 00:00:15,2014-07-23 00:03:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35
"Annfield","Annfield-1","MG",2014-07-23,16.5,NA,NA,4,200,3.3,"Turbine(s) spinning",2014-07-23 00:03:36,2014-07-23 00:07:27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85
"Annfield","Annfield-1","MG",2014-07-23,16.5,NA,NA,4,300,4.1,"Turbine(s) spinning",2014-07-23 00:07:27,2014-07-23 00:09:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51666666666667
"Annfield","Annfield-1","MG",2014-07-23,16.5,NA,NA,4,400,3.9,"Turbine(s) spinning",2014-07-23 00:09:58,2014-07-23 00:12:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68333333333333
"Annfield","Annfield-1","MG",2014-07-23,16.5,NA,NA,4,500,2.2,"Turbine(s) spinning",2014-07-23 00:12:39,2014-07-23 00:15:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23333333333333
"Annfield","Annfield-1","MG",2014-07-23,16.5,NA,NA,4,600,2.6,"Turbine(s) spinning",2014-07-23 00:15:53,2014-07-23 00:19:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.13333333333333
"Annfield","Annfield-1","MG",2014-07-23,16.5,NA,NA,4,700,0,"Turbine(s) spinning",2014-07-23 00:19:01,2014-07-23 00:22:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,0,0.6,"Turbine(s) spinning",2014-08-27 00:07:13,2014-08-27 00:09:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76666666666667
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,100,0,"Turbine(s) spinning",2014-08-27 00:09:59,2014-08-27 00:13:28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48333333333333
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,200,0,"Turbine(s) spinning",2014-08-27 00:13:28,2014-08-27 00:15:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,300,0,"Turbine(s) spinning",2014-08-27 00:15:58,2014-08-27 00:18:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,400,0,"Turbine(s) spinning",2014-08-27 00:18:13,2014-08-27 00:20:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41666666666667
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,500,0.1,"Turbine(s) spinning",2014-08-27 00:20:38,2014-08-27 00:23:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56666666666667
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,600,0,"Turbine(s) spinning",2014-08-27 00:23:12,2014-08-27 00:26:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48333333333333
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,600,0.2,"Turbine(s) spinning",2014-08-26 23:48:56,2014-08-26 23:51:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,500,0,"Turbine(s) spinning",2014-08-26 23:51:05,2014-08-26 23:53:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,400,0,"Turbine(s) spinning",2014-08-26 23:53:41,2014-08-26 23:56:29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,300,0,"Turbine(s) spinning",2014-08-26 23:56:29,2014-08-26 23:59:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,200,0,"Turbine(s) spinning",2014-08-26 23:59:59,2014-08-27 00:03:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36666666666667
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,3,100,0,"Turbine(s) spinning",2014-08-27 00:03:21,2014-08-27 00:05:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,3,0,0.7,"Turbine(s) spinning",2014-08-27 00:05:51,2014-08-27 00:09:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,0,0.1,"Turbine(s) spinning",2014-08-27 00:34:51,2014-08-27 00:37:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,100,0,"Turbine(s) spinning",2014-08-27 00:37:36,2014-08-27 00:40:47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18333333333333
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,200,0,"Turbine(s) spinning",2014-08-27 00:40:47,2014-08-27 00:43:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43333333333333
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,300,0,"Turbine(s) spinning",2014-08-27 00:43:13,2014-08-27 00:45:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36666666666667
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,400,0,"Turbine(s) spinning",2014-08-27 00:45:35,2014-08-27 00:47:55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,500,0,"Turbine(s) spinning",2014-08-27 00:47:55,2014-08-27 00:50:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38333333333333
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,600,0,"Turbine(s) spinning",2014-08-27 00:50:18,2014-08-27 00:53:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,700,0,"Turbine(s) spinning",2014-08-27 00:53:12,2014-08-27 00:56:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18333333333333
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,0,0.3,"Turbine(s) spinning",2014-08-04 22:27:23,2014-08-04 22:30:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93333333333333
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,100,0.2,"Turbine(s) spinning",2014-08-04 22:30:19,2014-08-04 22:32:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63333333333333
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,200,0.1,"Turbine(s) spinning",2014-08-04 22:32:57,2014-08-04 22:36:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,300,0.9,"Turbine(s) spinning",2014-08-04 22:36:17,2014-08-04 22:40:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,400,0,"Turbine(s) spinning",2014-08-04 22:40:26,2014-08-04 22:43:55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48333333333333
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,500,0,"Turbine(s) spinning",2014-08-04 22:43:55,2014-08-04 22:46:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,600,0,"Turbine(s) spinning",2014-08-04 22:46:25,2014-08-04 22:50:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,0,0.8,"Turbine(s) spinning",2014-08-04 21:44:11,2014-08-04 21:46:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46666666666667
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,100,0,"Turbine(s) spinning",2014-08-04 21:46:39,2014-08-04 21:49:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63333333333333
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,200,0,"Turbine(s) spinning",2014-08-04 21:49:17,2014-08-04 21:51:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,300,0.6,"Turbine(s) spinning",2014-08-04 21:51:56,2014-08-04 21:54:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,400,0,"Turbine(s) spinning",2014-08-04 21:54:38,2014-08-04 21:57:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61666666666667
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,500,1.9,"Turbine(s) spinning",2014-08-04 21:57:15,2014-08-04 21:59:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,0,0.4,"Turbine(s) spinning",2014-08-04 22:05:03,2014-08-04 22:08:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,100,0,"Turbine(s) spinning",2014-08-04 22:08:06,2014-08-04 22:10:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53333333333333
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,200,0,"Turbine(s) spinning",2014-08-04 22:10:38,2014-08-04 22:13:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,300,1,"Turbine(s) spinning",2014-08-04 22:13:17,2014-08-04 22:16:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01666666666667
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,400,0,"Turbine(s) spinning",2014-08-04 22:16:18,2014-08-04 22:19:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,500,0.3,"Turbine(s) spinning",2014-08-04 22:19:12,2014-08-04 22:22:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,0,0.7,"Turbine(s) spinning",2014-08-04 22:54:47,2014-08-04 22:57:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,100,1.4,"Turbine(s) spinning",2014-08-04 22:57:59,2014-08-04 23:00:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,200,0,"Turbine(s) spinning",2014-08-04 23:00:26,2014-08-04 23:02:54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46666666666667
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,300,0.9,"Turbine(s) spinning",2014-08-04 23:02:54,2014-08-04 23:05:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53333333333333
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,400,0.3,"Turbine(s) spinning",2014-08-04 23:05:26,2014-08-04 23:08:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.71666666666667
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,500,1.2,"Turbine(s) spinning",2014-08-04 23:08:09,2014-08-04 23:10:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,600,0.1,"Turbine(s) spinning",2014-08-04 23:10:51,2014-08-04 23:14:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,0,0,"Turbine(s) not spinning",2014-08-27 20:53:16,2014-08-27 20:56:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01666666666667
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,100,1.1,"Turbine(s) not spinning",2014-08-27 20:56:17,2014-08-27 20:59:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41666666666667
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,200,0,"Turbine(s) not spinning",2014-08-27 20:59:42,2014-08-27 21:03:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,300,0,"Turbine(s) not spinning",2014-08-27 21:03:42,2014-08-27 21:08:29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78333333333333
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,400,0,"Turbine(s) not spinning",2014-08-27 21:08:29,2014-08-27 21:12:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23333333333333
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,500,0,"Turbine(s) not spinning",2014-08-27 21:12:43,2014-08-27 21:16:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48333333333333
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,600,0,"Turbine(s) not spinning",2014-08-27 21:16:12,2014-08-27 21:20:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78333333333333
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,2,0,0,"Turbine(s) not spinning",2014-08-27 21:33:35,2014-08-27 21:36:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11666666666667
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,2,100,0,"Turbine(s) not spinning",2014-08-27 21:36:42,2014-08-27 21:39:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.13333333333333
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,2,200,0,"Turbine(s) not spinning",2014-08-27 21:39:50,2014-08-27 21:43:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31666666666667
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,2,300,0.3,"Turbine(s) not spinning",2014-08-27 21:43:09,2014-08-27 21:46:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,2,400,0.7,"Turbine(s) not spinning",2014-08-27 21:46:36,2014-08-27 21:49:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,2,500,0,"Turbine(s) not spinning",2014-08-27 21:49:46,2014-08-27 21:53:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,3,0,0,"Turbine(s) not spinning",2014-08-27 22:01:50,2014-08-27 22:04:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76666666666667
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,3,100,0,"Turbine(s) not spinning",2014-08-27 22:04:36,2014-08-27 22:07:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68333333333333
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,3,200,0,"Turbine(s) not spinning",2014-08-27 22:07:17,2014-08-27 22:09:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,3,300,0.3,"Turbine(s) not spinning",2014-08-27 22:09:44,2014-08-27 22:12:24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,3,400,3.5,"Turbine(s) not spinning",2014-08-27 22:12:24,2014-08-27 22:14:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73333333333333
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,3,500,2.4,"Turbine(s) not spinning",2014-08-27 22:14:08,2014-08-27 22:16:54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76666666666667
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,0,0,"Turbine(s) spinning",2014-08-27 22:24:16,2014-08-27 22:27:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,100,0.1,"Turbine(s) spinning",2014-08-27 22:27:19,2014-08-27 22:29:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53333333333333
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,200,0,"Turbine(s) spinning",2014-08-27 22:29:51,2014-08-27 22:32:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08333333333333
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,300,0,"Turbine(s) spinning",2014-08-27 22:32:56,2014-08-27 22:36:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,400,0,"Turbine(s) spinning",2014-08-27 22:36:26,2014-08-27 22:39:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.71666666666667
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,500,0,"Turbine(s) spinning",2014-08-27 22:39:09,2014-08-27 22:42:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01666666666667
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,600,1.3,"Turbine(s) spinning",2014-08-27 22:42:10,2014-08-27 22:45:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,0,1.4,"Turbine(s) spinning",2014-08-05 21:38:47,2014-08-05 21:41:32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,100,0.9,"Turbine(s) spinning",2014-08-05 21:41:32,2014-08-05 21:44:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,200,1.9,"Turbine(s) spinning",2014-08-05 21:44:53,2014-08-05 21:47:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61666666666667
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,300,0.7,"Turbine(s) spinning",2014-08-05 21:47:30,2014-08-05 21:50:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93333333333333
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,400,1.5,"Turbine(s) spinning",2014-08-05 21:50:26,2014-08-05 21:53:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41666666666667
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,500,0.6,"Turbine(s) spinning",2014-08-05 21:53:51,2014-08-05 21:56:47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93333333333333
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,600,0.8,"Turbine(s) spinning",2014-08-05 21:56:47,2014-08-05 22:00:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41666666666667
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,2,0,0.8,"Turbine(s) spinning",2014-08-05 22:09:15,2014-08-05 22:11:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,2,100,1.5,"Turbine(s) spinning",2014-08-05 22:11:57,2014-08-05 22:14:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76666666666667
